catalog_id,heuristic,k,n_users,mean_rank,ndcg@5,ndcg@10,recall@5,recall@10
olist_all,pop_global,5,14,999.8571,0.00000,0.00000,0.00000,0.00000
olist_all,recency_pop_0.1,5,14,999.8571,0.00000,0.00000,0.00000,0.00000
olist_all,recency_pop_0.5,5,14,999.8571,0.00000,0.00000,0.00000,0.00000
olist_all,recency_pop_1.0,5,14,999.8571,0.00000,0.00000,0.00000,0.00000
olist_all,pop_category,5,14,999.8571,0.00000,0.00000,0.00000,0.00000
olist_all,pop_price,5,14,999.8571,0.00000,0.00000,0.00000,0.00000
olist_all,content_knn_1,5,14,999.8571,0.00000,0.00000,0.00000,0.00000
olist_all,content_knn_3,5,14,999.8571,0.00000,0.00000,0.00000,0.00000
olist_all,content_knn_5,5,14,999.8571,0.00000,0.00000,0.00000,0.00000
olist_all,last_item_nbhd,5,14,999.8571,0.00000,0.00000,0.00000,0.00000
olist_all,pop_scaled_content,5,14,999.8571,0.00000,0.00000,0.00000,0.00000
olist_all,co_purchase,5,14,999.8571,0.00000,0.00000,0.00000,0.00000
olist_all,lambda_hybrid_0.25,5,14,999.8571,0.00000,0.00000,0.00000,0.00000
olist_all,lambda_hybrid_0.5,5,14,999.8571,0.00000,0.00000,0.00000,0.00000
olist_all,lambda_hybrid_0.75,5,14,999.8571,0.00000,0.00000,0.00000,0.00000
olist_all,active_elic2,5,14,,,,,
olist_all,pop_global,8,11,1000.0000,0.00000,0.00000,0.00000,0.00000
olist_all,recency_pop_0.1,8,11,1000.0000,0.00000,0.00000,0.00000,0.00000
olist_all,recency_pop_0.5,8,11,1000.0000,0.00000,0.00000,0.00000,0.00000
olist_all,recency_pop_1.0,8,11,1000.0000,0.00000,0.00000,0.00000,0.00000
olist_all,pop_category,8,11,1000.0000,0.00000,0.00000,0.00000,0.00000
olist_all,pop_price,8,11,1000.0000,0.00000,0.00000,0.00000,0.00000
olist_all,content_knn_1,8,11,1000.0000,0.00000,0.00000,0.00000,0.00000
