catalog_id,heuristic,k,published_ndcg5,mine_ndcg5,delta,pass_1e6,pass_print5
olist_furniture_decor,recency_pop_0.5,1,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,recency_pop_1.0,1,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,pop_category,1,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,pop_price,1,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,content_knn_1,1,0.0050900,0.0050881,-1.857e-06,False,True
olist_furniture_decor,content_knn_3,1,0.0050900,0.0050881,-1.857e-06,False,True
olist_furniture_decor,content_knn_5,1,0.0050900,0.0050881,-1.857e-06,False,True
olist_furniture_decor,last_item_nbhd,1,0.0050900,0.0050881,-1.857e-06,False,True
olist_furniture_decor,pop_scaled_content,1,0.0080600,0.0080645,4.516e-06,False,True
olist_furniture_decor,co_purchase,1,0.0080600,0.0080645,4.516e-06,False,True
olist_furniture_decor,lambda_hybrid_0.25,1,0.0031200,0.0031198,-2.193e-07,True,True
olist_furniture_decor,lambda_hybrid_0.5,1,0.0080600,0.0080645,4.516e-06,False,True
olist_furniture_decor,lambda_hybrid_0.75,1,0.0080600,0.0080645,4.516e-06,False,True
olist_furniture_decor,pop_global,2,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,recency_pop_0.1,2,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,recency_pop_0.5,2,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,recency_pop_1.0,2,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,pop_category,2,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,pop_price,2,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,content_knn_1,2,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,content_knn_3,2,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,content_knn_5,2,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,last_item_nbhd,2,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,pop_scaled_content,2,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,co_purchase,2,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,lambda_hybrid_0.25,2,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,lambda_hybrid_0.5,2,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,lambda_hybrid_0.75,2,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,pop_global,3,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,recency_pop_0.1,3,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,recency_pop_0.5,3,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,recency_pop_1.0,3,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,pop_category,3,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,pop_price,3,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,content_knn_1,3,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,content_knn_3,3,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,content_knn_5,3,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,last_item_nbhd,3,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,pop_scaled_content,3,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,co_purchase,3,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,lambda_hybrid_0.25,3,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,lambda_hybrid_0.5,3,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,lambda_hybrid_0.75,3,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,pop_global,5,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,recency_pop_0.1,5,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,recency_pop_0.5,5,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,recency_pop_1.0,5,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,pop_category,5,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,pop_price,5,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,content_knn_1,5,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,content_knn_3,5,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,content_knn_5,5,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,last_item_nbhd,5,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,pop_scaled_content,5,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,co_purchase,5,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,lambda_hybrid_0.25,5,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,lambda_hybrid_0.5,5,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,lambda_hybrid_0.75,5,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,pop_global,8,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,recency_pop_0.1,8,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,recency_pop_0.5,8,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,recency_pop_1.0,8,0.0000000,0.0000000,0.000e+00,True,True
