catalog_id,k,heuristic,ndcg5,ci_lo,ci_hi
phi_V100_EHIGH_z0.5_p0.5_s0,5,content_knn_1,0.016438,0.011008,0.023042
phi_V100_EHIGH_z0.5_p0.5_s0,5,content_knn_3,0.026330,0.018384,0.035018
phi_V100_EHIGH_z0.5_p0.5_s0,5,content_knn_5,0.020121,0.013582,0.026427
phi_V100_EHIGH_z0.5_p0.5_s0,5,last_item_nbhd,0.017827,0.011833,0.024225
phi_V100_EHIGH_z0.5_p0.5_s0,5,pop_scaled_content,0.131712,0.113211,0.150761
phi_V100_EHIGH_z0.5_p0.5_s0,5,co_purchase,0.003391,0.000415,0.007272
phi_V100_EHIGH_z0.5_p0.5_s0,5,lambda_hybrid_0.25,0.123128,0.102786,0.142512
phi_V100_EHIGH_z0.5_p0.5_s0,5,lambda_hybrid_0.5,0.114762,0.096733,0.135730
phi_V100_EHIGH_z0.5_p0.5_s0,5,lambda_hybrid_0.75,0.059732,0.047246,0.071973
phi_V100_EHIGH_z0.5_p0.5_s0,8,pop_global,0.061428,0.045261,0.077019
phi_V100_EHIGH_z0.5_p0.5_s0,8,recency_pop_0.1,0.060928,0.044214,0.076882
phi_V100_EHIGH_z0.5_p0.5_s0,8,recency_pop_0.5,0.061467,0.044272,0.076825
phi_V100_EHIGH_z0.5_p0.5_s0,8,recency_pop_1.0,0.059967,0.043197,0.075862
phi_V100_EHIGH_z0.5_p0.5_s0,8,pop_category,0.049966,0.035356,0.066235
phi_V100_EHIGH_z0.5_p0.5_s0,8,pop_price,0.053545,0.038896,0.069273
phi_V100_EHIGH_z0.5_p0.5_s0,8,content_knn_1,0.011236,0.006011,0.017293
phi_V100_EHIGH_z0.5_p0.5_s0,8,content_knn_3,0.014273,0.006955,0.021857
phi_V100_EHIGH_z0.5_p0.5_s0,8,content_knn_5,0.011613,0.006218,0.017703
phi_V100_EHIGH_z0.5_p0.5_s0,8,last_item_nbhd,0.010420,0.005539,0.016480
phi_V100_EHIGH_z0.5_p0.5_s0,8,pop_scaled_content,0.060220,0.043709,0.076572
phi_V100_EHIGH_z0.5_p0.5_s0,8,co_purchase,0.005143,0.000646,0.010495
phi_V100_EHIGH_z0.5_p0.5_s0,8,lambda_hybrid_0.25,0.054535,0.038802,0.071614
phi_V100_EHIGH_z0.5_p0.5_s0,8,lambda_hybrid_0.5,0.046563,0.033426,0.062618
phi_V100_EHIGH_z0.5_p0.5_s0,8,lambda_hybrid_0.75,0.025818,0.017095,0.035933
phi_V100_EHIGH_z0.5_p0.5_s1,0,pop_global,0.744778,0.723108,0.766843
phi_V100_EHIGH_z0.5_p0.5_s1,0,recency_pop_0.1,0.042796,0.032069,0.055057
phi_V100_EHIGH_z0.5_p0.5_s1,0,recency_pop_0.5,0.050040,0.038481,0.062241
phi_V100_EHIGH_z0.5_p0.5_s1,0,recency_pop_1.0,0.050694,0.040200,0.063265
phi_V100_EHIGH_z0.5_p0.5_s1,0,pop_category,0.744778,0.722429,0.764764
phi_V100_EHIGH_z0.5_p0.5_s1,0,pop_price,0.741840,0.720516,0.764118
phi_V100_EHIGH_z0.5_p0.5_s1,0,lambda_hybrid_0.25,0.744778,0.721931,0.765727
phi_V100_EHIGH_z0.5_p0.5_s1,0,lambda_hybrid_0.5,0.744778,0.723787,0.766091
phi_V100_EHIGH_z0.5_p0.5_s1,0,lambda_hybrid_0.75,0.744778,0.722515,0.765292
phi_V100_EHIGH_z0.5_p0.5_s1,0,active_elic2,0.818362,0.797385,0.837887
phi_V100_EHIGH_z0.5_p0.5_s1,1,pop_global,0.425761,0.398469,0.451693
phi_V100_EHIGH_z0.5_p0.5_s1,1,recency_pop_0.1,0.059514,0.045970,0.072987
phi_V100_EHIGH_z0.5_p0.5_s1,1,recency_pop_0.5,0.182644,0.162394,0.203454
phi_V100_EHIGH_z0.5_p0.5_s1,1,recency_pop_1.0,0.201539,0.178957,0.225348
phi_V100_EHIGH_z0.5_p0.5_s1,1,pop_category,0.426535,0.397347,0.453635
phi_V100_EHIGH_z0.5_p0.5_s1,1,pop_price,0.415158,0.388525,0.443866
phi_V100_EHIGH_z0.5_p0.5_s1,1,content_knn_1,0.041192,0.033660,0.048444
phi_V100_EHIGH_z0.5_p0.5_s1,1,content_knn_3,0.050713,0.040380,0.060762
phi_V100_EHIGH_z0.5_p0.5_s1,1,content_knn_5,0.048861,0.039500,0.058223
