catalog_id,n_items,entropy,zipf_s,phi_nominal,phi_effective,phi_capped,seed,tighten_used,gate_KS,gate_max_abs_dev,dHHI,dNormEntropy,gate_pass
phi_V500_ELOW_z1.5_p0.25_s1,500,LOW,1.5,0.25,0.25,False,1,0,0.002454848325442738,0.0021041557075223566,-8.793449826866723e-06,-0.0011449691247573668,True
phi_V500_ELOW_z1.5_p0.5_s0,500,LOW,1.5,0.5,0.5,False,0,0,0.005298949041773193,0.00680031793694251,-0.0017346496318560965,0.003406346577339292,True
phi_V500_ELOW_z1.5_p0.5_s1,500,LOW,1.5,0.5,0.5,False,1,0,0.004208311415044963,0.0044713308784850095,-0.00016304777773381088,0.0009013858590463109,True
phi_V500_ELOW_z1.5_p1_s0,500,LOW,1.5,1.0,1.0,False,0,0,0.015631899673229976,0.015808531307957258,-0.003907157901451134,0.010928639953690311,True
phi_V500_ELOW_z1.5_p1_s1,500,LOW,1.5,1.0,1.0,False,1,0,0.0072768718218474415,0.004208311415044713,-0.0009783481590589938,0.006676705171506425,True
phi_V500_EHIGH_z0.5_p0_s0,500,HIGH,0.5,0.0,0.0,False,0,0,0.0,0.0,0.0,0.0,True
phi_V500_EHIGH_z0.5_p0_s1,500,HIGH,0.5,0.0,0.0,False,1,0,0.0,0.0,0.0,0.0,True
phi_V500_EHIGH_z0.5_p0.25_s0,500,HIGH,0.5,0.25,0.25,False,0,0,0.008919897553651746,0.007418528658482804,-0.006224334702393752,0.004677865910782508,True
phi_V500_EHIGH_z0.5_p0.25_s1,500,HIGH,0.5,0.25,0.25,False,1,0,0.007276871821848191,0.004383657724004841,-0.006300583666769444,0.0029941635185234128,True
phi_V500_EHIGH_z0.5_p0.5_s0,500,HIGH,0.5,0.5,0.5,False,0,1,0.0037975801466042514,0.00547558067649917,-0.0015120778607470853,0.005911463832917907,True
phi_V500_EHIGH_z0.5_p0.5_s1,500,HIGH,0.5,0.5,0.5,False,1,1,0.0032439067157636614,0.0022795020164825264,-0.00365186436970677,0.00465761493532324,True
phi_V500_EHIGH_z0.5_p1_s0,500,HIGH,0.5,1.0,0.97113037109375,True,0,1,0.010421266448820798,0.019959374724013074,-0.008064077271028758,0.017749335783253217,True
phi_V500_EHIGH_z0.5_p1_s1,500,HIGH,0.5,1.0,0.941802978515625,True,1,1,0.013852358407855425,0.01306330001753464,-0.01993645717871262,0.016371736007959853,True
phi_V500_EHIGH_z1.5_p0_s0,500,HIGH,1.5,0.0,0.0,False,0,0,0.0,0.0,0.0,0.0,True
phi_V500_EHIGH_z1.5_p0_s1,500,HIGH,1.5,0.0,0.0,False,1,0,0.0,0.0,0.0,0.0,True
phi_V500_EHIGH_z1.5_p0.25_s0,500,HIGH,1.5,0.25,0.25,False,0,0,0.002914421972975867,0.0018546321646206836,-0.00012688525274745857,0.003013899525451502,True
phi_V500_EHIGH_z1.5_p0.25_s1,500,HIGH,1.5,0.25,0.25,False,1,0,0.0029808872523233165,0.0028932140978432386,1.6034210086399506e-05,0.0003660775350450285,True
phi_V500_EHIGH_z1.5_p0.5_s0,500,HIGH,1.5,0.5,0.5,False,0,0,0.0036209485118783857,0.002384527068798022,-0.00013577689204744177,0.0018342278721450445,True
phi_V500_EHIGH_z1.5_p0.5_s1,500,HIGH,1.5,0.5,0.5,False,1,0,0.005348062423285893,0.0029808872523233304,0.0001612491175419506,0.0015096960891414213,True
phi_V500_EHIGH_z1.5_p1_s0,500,HIGH,1.5,1.0,1.0,False,0,0,0.008831581736288896,0.005828843945950721,-0.0005619828024932359,0.005795976180307472,True
phi_V500_EHIGH_z1.5_p1_s1,500,HIGH,1.5,1.0,1.0,False,1,0,0.012098895318253478,0.004208311415044713,-0.00011871157266269035,0.0014478267882084284,True
phi_V20_ELOW_z0.5_p0.5_s2,20,LOW,0.5,0.5,0.5,False,2,0,0.008635961027457922,0.014393268379096602,-0.014714241107888548,0.013171198589803756,True
phi_V20_ELOW_z1.5_p0.5_s2,20,LOW,1.5,0.5,0.5,False,2,0,0.010407440212577446,0.006421612046058456,-0.0012166170710027208,0.004701440914171795,True
phi_V20_EHIGH_z0.5_p0.5_s2,20,HIGH,0.5,0.5,0.416656494140625,True,2,1,0.017714791851195733,0.01616474756421612,-0.019801752022726327,0.012590462724603346,True
phi_V20_EHIGH_z1.5_p0.5_s2,20,HIGH,1.5,0.5,0.5,False,2,0,0.010186005314437585,0.008857395925597866,0.00474045240973732,-0.012645549463601302,True
phi_V100_ELOW_z0.5_p0.5_s2,100,LOW,0.5,0.5,0.5,False,2,0,0.01591267753813791,0.01236191478169385,-0.01155528486488322,0.013498083908148495,True
phi_V100_ELOW_z1.5_p0.5_s2,100,LOW,1.5,0.5,0.5,False,2,0,0.0056549184639663325,0.004602840610205154,0.00010871517275024695,-0.0006915100628530624,True
phi_V100_EHIGH_z0.5_p0.5_s2,100,HIGH,0.5,0.5,0.5,False,2,0,0.01025775907417159,0.007759074171488689,-0.007702727682016797,0.010371688980428173,True
phi_V100_EHIGH_z1.5_p0.5_s2,100,HIGH,1.5,0.5,0.5,False,2,0,0.008679642293529521,0.0052603892688058915,-0.0013145092936772164,0.006028015659079955,True
phi_V500_ELOW_z0.5_p0.5_s2,500,LOW,0.5,0.5,0.5,False,2,0,0.016471000525670187,0.012703697213947818,-0.00950781196437242,0.008575587219300462,True
phi_V500_ELOW_z1.5_p0.5_s2,500,LOW,1.5,0.5,0.5,False,2,0,0.00551953741019795,0.003329244787103558,0.00013010499373208688,-0.001641441952019984,True
phi_V500_EHIGH_z0.5_p0.5_s2,500,HIGH,0.5,0.5,0.418731689453125,True,2,1,0.020939197476782967,0.019975468722621348,-0.018028514654765626,0.007197728334683573,True
phi_V500_EHIGH_z1.5_p0.5_s2,500,HIGH,1.5,0.5,0.5,False,2,0,0.004555808656035998,0.002978797967408445,-0.00011034745663082452,0.0016681852808597686,True
