catalog_id,n_items,entropy,zipf_s,seed,phi_nominal,phi_effective,phi_capped,headroom,headroom_lo,headroom_hi,headroom_full,headroom_full_lo,headroom_full_hi,delta_vs_phi0,delta_lo,delta_hi,delta_dominant,winner_per_k,overtake_any,overtake_detail,gate_KS,gate_max_abs_dev,dHHI,dNormEntropy,inner_cells_used
phi_V100_ELOW_z0.5_p0.5_s0,100,LOW,0.5,0,0.5,0.5,False,-0.189253,-0.200966,-0.177937,-0.193001,-0.203754,-0.182575,0.008849,-0.012215,0.029372,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:recency_pop_0.5,False,,0.011124,0.018541,-0.016916,0.019447,5
phi_V100_ELOW_z0.5_p0.5_s1,100,LOW,0.5,1,0.5,0.5,False,-0.194383,-0.204667,-0.183112,-0.193810,-0.203703,-0.184543,0.005589,-0.014241,0.025358,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.011355,0.019144,-0.019216,0.013989,5
phi_V100_ELOW_z0.5_p0.5_s2,100,LOW,0.5,2,0.5,0.5,False,-0.273507,-0.287067,-0.259907,-0.263421,-0.274839,-0.252728,,,,,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_category,False,,0.015913,0.012362,-0.011555,0.013498,5
phi_V100_ELOW_z0.5_p0_s0,100,LOW,0.5,0,0.0,0.0,False,-0.197914,-0.210208,-0.186161,-0.201850,-0.211947,-0.191539,,,,,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V100_ELOW_z0.5_p0_s1,100,LOW,0.5,1,0.0,0.0,False,-0.202627,-0.214230,-0.190591,-0.199399,-0.209900,-0.189461,,,,,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V100_ELOW_z0.5_p1_s0,100,LOW,0.5,0,1.0,0.5294,True,-0.188439,-0.200503,-0.176805,-0.191139,-0.201742,-0.181482,0.010712,-0.010202,0.030464,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.012714,0.019997,-0.018053,0.018960,5
phi_V100_ELOW_z0.5_p1_s1,100,LOW,0.5,1,1.0,0.7521,True,-0.183292,-0.194144,-0.172954,-0.184249,-0.193810,-0.175107,0.015149,-0.004349,0.034794,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.024426,0.019276,-0.019986,0.023491,5
phi_V100_ELOW_z1.5_p0.25_s0,100,LOW,1.5,0,0.25,0.25,False,-0.115706,-0.127173,-0.103951,-0.112286,-0.122944,-0.101513,0.003861,-0.016302,0.024427,false,0:active_elic2;1:pop_category;2:pop_category;3:lambda_hybrid_0.25;5:recency_pop_0.5;8:recency_pop_0.5,False,,0.003841,0.003178,0.000571,-0.003714,5
phi_V100_ELOW_z1.5_p0.25_s1,100,LOW,1.5,1,0.25,0.25,False,-0.124267,-0.135940,-0.113919,-0.128281,-0.138077,-0.118608,0.001013,-0.018465,0.020930,false,0:pop_price;1:lambda_hybrid_0.25;2:pop_global;3:lambda_hybrid_0.25;5:pop_category;8:recency_pop_0.1,False,,0.003301,0.003697,-0.000191,0.000762,5
phi_V100_ELOW_z1.5_p0.5_s0,100,LOW,1.5,0,0.5,0.5,False,-0.111865,-0.123706,-0.100966,-0.114285,-0.124311,-0.103986,0.001862,-0.017669,0.021954,false,0:active_elic2;1:pop_category;2:pop_category;3:lambda_hybrid_0.25;5:lambda_hybrid_0.25;8:pop_global,False,,0.004635,0.003443,-0.000505,0.001522,5
phi_V100_ELOW_z1.5_p0.5_s1,100,LOW,1.5,1,0.5,0.5,False,-0.121818,-0.132548,-0.111874,-0.122175,-0.132136,-0.113021,0.007119,-0.012524,0.026517,false,0:pop_category;1:pop_global;2:pop_global;3:pop_global;5:lambda_hybrid_0.25;8:recency_pop_0.1,False,,0.006205,0.005809,-0.001869,0.006364,5
phi_V100_ELOW_z1.5_p0.5_s2,100,LOW,1.5,2,0.5,0.5,False,-0.105663,-0.116946,-0.093735,-0.113154,-0.124015,-0.102869,,,,,0:pop_price;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_category,False,,0.005655,0.004603,0.000109,-0.000692,5
phi_V100_ELOW_z1.5_p0_s0,100,LOW,1.5,0,0.0,0.0,False,-0.115126,-0.126471,-0.104049,-0.116147,-0.125941,-0.106643,,,,,0:active_elic2;1:pop_category;2:pop_category;3:lambda_hybrid_0.25;5:recency_pop_0.1;8:recency_pop_0.5,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V100_ELOW_z1.5_p0_s1,100,LOW,1.5,1,0.0,0.0,False,-0.128465,-0.139700,-0.117503,-0.129294,-0.139538,-0.119612,,,,,0:pop_category;1:pop_category;2:pop_category;3:lambda_hybrid_0.25;5:pop_category;8:pop_category,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V100_ELOW_z1.5_p1_s0,100,LOW,1.5,0,1.0,1.0,False,-0.081298,-0.092232,-0.071206,-0.085640,-0.095669,-0.076577,0.030507,0.010973,0.049364,true,0:active_elic2;1:pop_scaled_content;2:pop_scaled_content;3:lambda_hybrid_0.5;5:pop_global;8:recency_pop_0.5,False,,0.009800,0.007681,-0.001979,0.009511,5
phi_V100_ELOW_z1.5_p1_s1,100,LOW,1.5,1,1.0,1.0,False,-0.092686,-0.104144,-0.081634,-0.096207,-0.105318,-0.087527,0.033087,0.014294,0.052011,true,0:pop_category;1:pop_category;2:pop_category;3:lambda_hybrid_0.25;5:lambda_hybrid_0.25;8:recency_pop_0.1,False,,0.012147,0.012279,-0.003220,0.009743,5
